object_id,utility_company,start_datetime,estimated_restoration_datetime,cause,impacted_customers,county,outage_status,outage_type,incident_id,estimated_restoration_hours
10197809,PGE,2026-06-10 16:00:00+00:00,2026-06-11 00:00:00+00:00,PLNND SHUTDOWN,12,SANTA CLARA,Active,Planned,275973,8.0
10197810,PGE,2026-06-10 15:53:32+00:00,2026-06-10 21:30:00+00:00,UNKNOWN / NOT PROVIDED,1,MADERA,Active,Not Planned,275974,5.607777777777778
10197811,PGE,2026-06-10 15:30:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,4,EL DORADO,Active,Planned,275976,7.5
10197812,PGE,2026-06-10 16:00:00+00:00,2026-06-10 21:00:00+00:00,PLNND SHUTDOWN,2,SAN LUIS OBISPO,Active,Planned,275983,5.0
10197813,PGE,2026-06-10 16:00:00+00:00,2026-06-10 22:00:00+00:00,PLNND SHUTDOWN,5,CONTRA COSTA,Active,Planned,275988,6.0
10197814,PGE,2026-06-10 16:00:16+00:00,2026-06-10 21:30:00+00:00,PLNND SHUTDOWN,2,SANTA BARBARA,Active,Planned,275993,5.495555555555556
10197815,PGE,2026-06-10 16:01:23+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,8,SAN MATEO,Active,Planned,275998,6.976944444444444
10197816,PGE,2026-06-10 16:02:36+00:00,2026-06-10 21:00:00+00:00,PLNND SHUTDOWN,2,PLACER,Active,Planned,276004,4.956666666666667
10197817,PGE,2026-06-10 16:02:38+00:00,2026-06-10 21:00:00+00:00,PLNND SHUTDOWN,2,FRESNO,Active,Planned,276006,4.956111111111111
10197818,PGE,2026-06-10 16:03:17+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,7,SAN MATEO,Active,Planned,276007,6.945277777777778
10197819,PGE,2026-06-10 16:04:20+00:00,2026-06-10 21:00:00+00:00,PLNND SHUTDOWN,6,KERN,Active,Planned,276008,4.927777777777778
10197820,PGE,2026-06-10 16:04:35+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,35,ALAMEDA,Active,Planned,276014,6.923611111111111
10197821,PGE,2026-06-10 16:07:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,4,SANTA CRUZ,Active,Planned,276015,6.883333333333334
10197822,PGE,2026-06-10 16:07:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,2,SANTA CRUZ,Active,Planned,276017,6.883333333333334
10197823,PGE,2026-06-10 16:11:08+00:00,2026-06-10 23:00:00+00:00,UNKNOWN / NOT PROVIDED,1,NEVADA,Active,Not Planned,276018,6.814444444444445
10197824,PGE,2026-06-10 16:05:55+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,26,ALAMEDA,Active,Planned,276019,6.901388888888889
10197825,PGE,2026-06-10 16:08:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,35,SAN MATEO,Active,Planned,276021,6.866666666666666
10197826,PGE,2026-06-10 16:07:00+00:00,2026-06-11 00:00:00+00:00,PLNND SHUTDOWN,35,SANTA CLARA,Active,Planned,276023,7.883333333333334
10197827,PGE,2026-06-10 16:12:36+00:00,2026-06-11 00:00:00+00:00,PLNND SHUTDOWN,13,ALAMEDA,Active,Planned,276024,7.79
