feature,importance
prior_service_requests,0.4758456263579602
prior_high_priority_requests,0.2470576810174079
prior_open_requests,0.1611734015774315
billing_month,0.02500380008021431
billing_quarter,0.02090622922049519
meter_age_days,0.016330091259340776
county_PLACER,0.004926623567451089
county_FRESNO,0.004104289129936636
days_in_cycle,0.0038660664681697916
county_SAN FRANCISCO,0.003081328053174316
county_CONTRA COSTA,0.002738019020582823
tier_1_rate,0.002687061981541646
rate_plan_id_R-COM-GEN,0.00228902740086232
base_charge,0.0021852481037494555
tier_threshold_kwh,0.0021548516760926486
customer_segment_Commercial,0.00205096735861593
tier_2_rate,0.002013380303591334
county_SANTA CLARA,0.0017398124569362708
county_HUMBOLDT,0.0014897564664718233
rate_plan_id_R-RES-TOU,0.0011542543946573426
county_MADERA,0.001084305187640155
county_KERN,0.0010227520140247365
customer_segment_Residential,0.0010227312502131272
county_SAN MATEO,0.0008801616449322276
county_MONTEREY,0.0008646857436995685
county_SOLANO,0.0008152467369354041
meter_type_Legacy Meter,0.0008066558821582491
meter_type_Smart Meter,0.0007654028701308987
county_SHASTA,0.0007253466985081417
customer_segment_Industrial,0.0006842846369804875
county_ALAMEDA,0.0006081729144787072
rate_plan_id_R-IND-GEN,0.0005974213229355841
county_MENDOCINO,0.0005922885587123574
county_KINGS,0.000566347364613923
county_LAKE,0.0005033731229459152
county_SONOMA,0.0004223950567404177
county_BUTTE,0.0004074697157098307
county_SAN JOAQUIN,0.00040027289913267935
county_MARIN,0.00039682256345125307
county_SANTA BARBARA,0.00036081929181685065
"customer_segment_Transportation, Communications, & Utilities",0.0003568308125741661
county_MERCED,0.00035467169167975533
rate_plan_id_R-TCU-GEN,0.00032717296359409805
customer_segment_Agriculture And Water Pumping,0.0003117593919284487
county_SAN LUIS OBISPO,0.0002888692928917163
rate_plan_id_R-AGR-PUMP,0.00027755146632743854
county_SUTTER,0.00022711173034957772
county_YOLO,0.0002151823767716159
county_CALAVERAS,0.00017112655972856616
county_SANTA CRUZ,0.0001500578882236998
county_EL DORADO,0.00012442259719292614
county_NEVADA,0.00011891097199147168
county_YUBA,0.00011073809578227291
county_PLUMAS,9.966955715583785e-05
county_AMADOR,8.80401227291888e-05
county_NAPA,7.842416386499049e-05
county_TUOLUMNE,7.521960968657938e-05
county_GLENN,6.967088805430291e-05
customer_segment_Mining,5.903058113139628e-05
customer_segment_Streetlighting,5.640982454893149e-05
rate_plan_id_R-MIN-GEN,5.474912077587003e-05
rate_plan_id_R-STLIGHT,5.1162409140761475e-05
county_COLUSA,8.746513432637882e-06
county_MARIPOSA,0.0
prior_in_progress_requests,0.0
service_type_Electric,0.0
